Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/07/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,BIH,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810110011,7018612926,13262207086,17823023684,20603414730,22581342502,23823316438,24871542244,26189734049,27237323428,28898791109,31430110406,33132764248,35072881402,36976190786,35865887279,36178691982,36525628666,36225486885,37077160404,37502820299,38660991306,39877133908,41138670761,42400037881
Belarus,BLR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85247615337,84224647730,76139080372,70352508861,62121262582,55660650968,57219151784,63742138180,69096472319,71445751799,75589607861,79161448132,83155354932,89012146702,99203808832,1.08529E+11,1.19382E+11,1.29649E+11,1.42873E+11,1.43159E+11,1.54323E+11,1.62623E+11,1.65367E+11,1.67026E+11,1.6991E+11,1.63403E+11,1.59275E+11,1.63308E+11,1.68288E+11
Belize,BLZ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959486676.2,1069482578,1198456245,1273667667,1275684689,1283903139,1302239976,1348400100,1398838982,1521643050,1719754545,1806010293,1898475945,2075564857,2172038923,2228034278,2330113905,2355875321,2431943135,2448256645,2531092716,2585830300,2661797149,2684473920,2783594669,2879126260,2862196317,2903334348,2991875704
Bermuda,BMU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405862615,2320830206,2319443808,2389225839,2403551952,2509287756,2574541183,2692970077,2797995910,2892642283,3162154265,3390538833,3340433777,3454366159,3534551202,3593726911,3792958313,3900901739,3960503379,3751223364,3672668488,3550019929,3378392790,3293556129,,,,,
Bolivia,BOL,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25417775962,26756410116,27196953588,28358071413,29681619296,31070206355,32425284643,34031700929,35743275075,35895859391,36796058464,37415630842,38345620610,39385301031,41028965561,42843034509,44898218803,46947545358,49834113868,51507045698,53632596929,56423688732,59313865042,63344842254,66803829903,70048617523,73035434188,76099423564,79313577791
Brazil,BRA,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54094E+12,1.56424E+12,1.55693E+12,1.62957E+12,1.7165E+12,1.79231E+12,1.83188E+12,1.89407E+12,1.90047E+12,1.90936E+12,1.99315E+12,2.02085E+12,2.08255E+12,2.10631E+12,2.22764E+12,2.29897E+12,2.39005E+12,2.53513E+12,2.66427E+12,2.66092E+12,2.86124E+12,2.97496E+12,3.03211E+12,3.12322E+12,3.13896E+12,3.02766E+12,2.92758E+12,2.95873E+12,2.99179E+12
Barbados,BRB,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3685174298,3540970003,3293642869,3333885928,3460064686,3530070841,3670083151,3844050542,3987835639,4000830793,4178990169,4079640117,4112337603,4201207692,4260314685,4429670892,4680770813,4763352924,4769221703,4579743966,4591900724,4622083018,4635078173,4635497371,4636335768,4678255622,4772156093,4819877654,
Brunei Darussalam,BRN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21911944834,22601281770,23676782035,23748895091,24495892218,25592991541,26329639158,25942284992,25797395034,26584772069,27342284375,28092567737,29180339200,30027723259,30179158548,30296104963,31628442732,31677334552,31062884657,30514769017,31307837411,32480415591,32776910360,32080063898,31326263640,31148701801,30380725910,30784410237,30800524852
Bhutan,BTN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249305960,1244210339,1301455106,1327306776,1393028419,1491572883,1574581493,1659196960,1757322379,1897626506,2029189412,2195659523,2431206377,2617542155,2771883125,2969312154,3172691209,3741422281,3919826548,4180778174,4671219173,5039821055,5295426154,5408880477,5719645280,6099690786,6589014155,6894026301,7051944190
Botswana,BWA,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10939638755,11755594588,12098513547,12330334029,12777668193,13675990688,14473273604,15678302574,15747861477,17270245158,17613525105,17657659996,18729397119,19595799325,20126026723,21043098446,22803116069,24690476123,26232504344,24225111738,26299661097,27890347804,29133188338,32437889490,33783831560,33210193717,34639485184,35646640309,37234184680
Central African Republic,CAF,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758064652,2742825158,2566623925,2575229191,2701414119,2895917166,2780077787,2927420131,3065013045,3175352746,3096304484,3234546399,3351525134,3170627061,3360702482,3391224736,3553022965,3716729736,3793076233,4118797567,4309531604,4490299877,4717228913,3017261031,3020799285,3158632570,3316762744,3464600252,3614985036
Canada,CAN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69106E+11,8.50978E+11,8.58641E+11,8.81488E+11,9.21108E+11,9.45904E+11,9.61217E+11,1.00235E+12,1.04126E+12,1.09501E+12,1.15176E+12,1.17216E+12,1.20745E+12,1.2292E+12,1.26714E+12,1.3077E+12,1.34201E+12,1.36969E+12,1.3834E+12,1.3426E+12,1.38398E+12,1.42747E+12,1.4525E+12,1.4862E+12,1.52869E+12,1.539E+12,1.55593E+12,1.60238E+12,1.63248E+12
Central Europe and the Baltics,CEB,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36193E+12,1.22888E+12,1.20048E+12,1.21989E+12,1.2695E+12,1.33812E+12,1.39533E+12,1.43412E+12,1.47378E+12,1.50025E+12,1.5604E+12,1.60813E+12,1.66657E+12,1.73337E+12,1.83761E+12,1.92863E+12,2.05595E+12,2.18893E+12,2.27981E+12,2.2033E+12,2.23335E+12,2.30576E+12,2.32552E+12,2.35981E+12,2.43244E+12,2.52518E+12,2.60646E+12,2.73189E+12,2.85009E+12
