Číslo kapitoly,Kapitola,Výdaj,Částka
377,Technologická agentura České republiky,Dotace jiným subjektům,4110802951.0
378,Národní úřad pro kybernetickou a informační bezpečnost,Výdaje na zabezpečení plnění úkolů Národního úřadu pro kybernetickou a informační bezpečnost,352460730.0
381,Nejvyšší kontrolní úřad,Výdaje na zabezpečení plnění úkolů Nejvyššího kontrolního úřadu,894507530.0
396,Státní dluh,Obsluha státního dluhu,46499000000.0
397,Operace státních finančních aktiv,Transfery do jiných kapitol,100000000.0
397,Operace státních finančních aktiv,Ostatní výdaje,215000000.0
398,Všeobecná pokladní správa,Vládní rozpočtová rezerva,4787258102.0
398,Všeobecná pokladní správa,"Rezerva na řešení krizových situací, jejich předcházení a odstraňování jejich následků (zákon č. 240/2000 Sb., ve znění pozdějších předpisů)",140000000.0
398,Všeobecná pokladní správa,"Rezerva na mimořádné výdaje podle zákona č. 239/2000 Sb., o integrovaném záchranném systému",60000000.0
398,Všeobecná pokladní správa,Stavební spoření,4000000000.0
398,Všeobecná pokladní správa,Podpora exportu; majetková újma; státní záruky; investiční pobídky,1663374322.0
398,Všeobecná pokladní správa,Sociální výdaje; náhrady; neziskové a podobné organizace,8681190000.0
398,Všeobecná pokladní správa,Finanční vztahy státního rozpočtu k rozpočtům krajů (s výjimkou hlavního města Prahy) - viz příloha č. 5,1317332700.0
398,Všeobecná pokladní správa,Finanční vztahy státního rozpočtu k rozpočtům obcí v úhrnech po jednotlivých krajích (s výjimkou hlavního města Prahy) - viz příloha č. 6,9438270400.0
398,Všeobecná pokladní správa,Finanční vztah státního rozpočtu k rozpočtu hlavního města Prahy - viz příloha č. 7,1075508600.0
398,Všeobecná pokladní správa,Další prostředky pro územní samosprávné celky,183489700.0
398,Všeobecná pokladní správa,Transfery veřejným rozpočtům ústřední úrovně,73320432000.0
398,Všeobecná pokladní správa,Ostatní výdaje,7400108638.0
398,Všeobecná pokladní správa,Odvody do rozpočtu Evropské unie,43600000000.0
398,Všeobecná pokladní správa,Výdaje vedené v informačním systému programového financování EDS/SMVS celkem,1781165000.0
398,Všeobecná pokladní správa,Prostředky na odstraňování důsledků povodní a na následnou obnovu,0.0
398,Všeobecná pokladní správa,"Výdaje vzniklé v průběhu roku, které nelze věcně zařadit do ostatních specifických ukazatelů",0.0
999,Zdravotní pojišťovny,Zdravotní pojišťovny,309764000000.0
